CO_MUN_GEO;NO_MUN;NO_MUN_MIN;CO_MUN_ATUALIZADOS
3401905;AMPARO;Amparo;2500734
3402002;ANALANDIA;Analândia;3502002
3402101;ANDRADINA;Andradina;3502101
3402200;ANGATUBA;Angatuba;3502200
3402309;ANHEMBI;Anhembi;3502309
3402408;ANHUMAS;Anhumas;3502408
3402507;APARECIDA;Aparecida;2500775
3402606;APARECIDA D'OESTE;Aparecida d'Oeste;3502606
3402705;APIAI;Apiaí;3502705
3402754;ARACARIGUAMA;Araçariguama;3502754
3402804;ARACATUBA;Araçatuba;3502804
3402903;ARACOIABA DA SERRA;Araçoiaba da Serra;3502903
3403000;ARAMINA;Aramina;3503000
3403109;ARANDU;Arandu;3503109
3403158;ARAPEI;Arapeí;3503158
3403208;ARARAQUARA;Araraquara;3503208
3403307;ARARAS;Araras;3503307
4322533;VALE DO SOL;Vale do Sol;4322533
4322541;VALE REAL;Vale Real;4322541
4322558;VANINI;Vanini;4322558
4322608;VENANCIO AIRES;Venâncio Aires;4322608
4322707;VERA CRUZ;Vera Cruz;2414803
4322806;VERANOPOLIS;Veranópolis;4322806
4322855;VESPASIANO CORREA;Vespasiano Correa;4322855
4322905;VIADUTOS;Viadutos;4322905
4323002;VIAMAO;Viamão;4323002
4323101;VICENTE DUTRA;Vicente Dutra;4323101
4323200;VICTOR GRAEFF;Victor Graeff;4323200
4323309;VILA FLORES;Vila Flores;4323309
4323358;VILA LANGARO;Vila Lângaro;4323358
4323408;VILA MARIA;Vila Maria;4323408
4323457;VILA NOVA DO SUL;Vila Nova do Sul;4323457
4323507;VISTA ALEGRE;Vista Alegre;4323507
4323606;VISTA ALEGRE DO PRATA;Vista Alegre do Prata;4323606
4323705;VISTA GAUCHA;Vista Gaúcha;4323705
4323754;VITORIA DAS MISSOES;Vitória das Missões;4323754
4323770;WESTFALIA;Westfalia;4323770
4323804;XANGRI-LA;Xangri-lá;4323804
5100102;ACORIZAL;Acorizal;5100102
4205456;FORQUILHINHA;Forquilhinha;4205456
4205506;FRAIBURGO;Fraiburgo;4205506
4205555;FREI ROGERIO;Frei Rogério;4205555
4205605;GALVAO;Galvão;4205605
4205704;GAROPABA;Garopaba;4205704
4205803;GARUVA;Garuva;4205803
4205902;GASPAR;Gaspar;4205902
4206009;GOVERNADOR CELSO RAMOS;Governador Celso Ramos;4206009
4206108;GRAO PARA;Grão Pará;4206108
4206207;GRAVATAL;Gravatal;4206207
4206306;GUABIRUBA;Guabiruba;4206306
4206405;GUARACIABA;Guaraciaba;4206405
4206504;GUARAMIRIM;Guaramirim;4206504
4206603;GUARUJA DO SUL;Guarujá do Sul;4206603
4206652;GUATAMBU;Guatambú;4206652
4206702;HERVAL D'OESTE;Herval d'Oeste;4206702
4206751;IBIAM;Ibiam;4206751
4206801;IBICARE;Ibicaré;4206801
4206900;IBIRAMA;Ibirama;4206900
4207007;ICARA;Içara;4207007
4207106;ILHOTA;Ilhota;4207106
4207205;IMARUI;Imaruí;4207205
4207304;IMBITUBA;Imbituba;4207304
4207403;IMBUIA;Imbuia;4207403
4207502;INDAIAL;Indaial;4207502
4207577;IOMERE;Iomerê;4207577
4207601;IPIRA;Ipira;4207601
4207650;IPORA DO OESTE;Iporã do Oeste;4207650
4207684;IPUACU;Ipuaçu;4207684
4207700;IPUMIRIM;Ipumirim;4207700
4207759;IRACEMINHA;Iraceminha;4207759
4207809;IRANI;Irani;4207809
4207858;IRATI;Irati;4207858
4207908;IRINEOPOLIS;Irineópolis;4207908
4208005;ITA;Itá;4208005
4208104;ITAIOPOLIS;Itaiópolis;4208104
4208203;ITAJAI;Itajaí;4208203
4208302;ITAPEMA;Itapema;4208302
4208401;ITAPIRANGA;Itapiranga;1302009
4208450;ITAPOA;Itapoá;4208450
4208500;ITUPORANGA;Ituporanga;4208500
4208609;JABORA;Jaborá;4208609
4208708;JACINTO MACHADO;Jacinto Machado;4208708
4208807;JAGUARUNA;Jaguaruna;4208807
4208906;JARAGUA DO SUL;Jaraguá do Sul;4208906
4208955;JARDINOPOLIS;Jardinópolis;4208955
4209003;JOACABA;Joaçaba;4209003
4209102;JOINVILLE;Joinville;4209102
4209151;JOSE BOITEUX;José Boiteux;4209151
4209177;JUPIA;Jupiá;4209177
4209201;LACERDOPOLIS;Lacerdópolis;4209201
4209300;LAGES;Lages;4209300
4209409;LAGUNA;Laguna;4209409
4209458;LAJEADO GRANDE;Lajeado Grande;4209458
4209508;LAURENTINO;Laurentino;4209508
4209607;LAURO MULLER;Lauro Muller;4209607
4209706;LEBON REGIS;Lebon Régis;4209706
4209805;LEOBERTO LEAL;Leoberto Leal;4209805
4209854;LINDOIA DO SUL;Lindóia do Sul;4209854
4209904;LONTRAS;Lontras;4209904
4210001;LUIZ ALVES;Luiz Alves;4210001
4210035;LUZERNA;Luzerna;4210035
4210050;MACIEIRA;Macieira;4210050
4210100;MAFRA;Mafra;4210100
4210209;MAJOR GERCINO;Major Gercino;4210209
4210308;MAJOR VIEIRA;Major Vieira;4210308
4210407;MARACAJA;Maracajá;4210407
4210506;MARAVILHA;Maravilha;2704609
4210555;MAREMA;Marema;4210555
4210605;MASSARANDUBA;Massaranduba;2509206
4210704;MATOS COSTA;Matos Costa;4210704
4210803;MELEIRO;Meleiro;4210803
4210852;MIRIM DOCE;Mirim Doce;4210852
4210902;MODELO;Modelo;4210902
4211009;MONDAI;Mondaí;4211009
4211058;MONTE CARLO;Monte Carlo;4211058
4211108;MONTE CASTELO;Monte Castelo;4211108
4211207;MORRO DA FUMACA;Morro da Fumaça;4211207
4211256;MORRO GRANDE;Morro Grande;4211256
4211306;NAVEGANTES;Navegantes;4211306
4211405;NOVA ERECHIM;Nova Erechim;4211405
4211454;NOVA ITABERABA;Nova Itaberaba;4211454
4211504;NOVA TRENTO;Nova Trento;4211504
4211603;NOVA VENEZA;Nova Veneza;5215009
4211652;NOVO HORIZONTE;Novo Horizonte;4211652
4211702;ORLEANS;Orleans;4211702
4211751;OTACILIO COSTA;Otacílio Costa;4211751
4211801;OURO;Ouro;4211801
2926202;RIACHAO DAS NEVES;Riachão das Neves;2926202
2926301;RIACHAO DO JACUIPE;Riachão do Jacuípe;2926301
2926400;RIACHO DE SANTANA;Riacho de Santana;2410801
2926509;RIBEIRA DO AMPARO;Ribeira do Amparo;2926509
2926608;RIBEIRA DO POMBAL;Ribeira do Pombal;2926608
2926657;RIBEIRAO DO LARGO;Ribeirão do Largo;2926657
2926707;RIO DE CONTAS;Rio de Contas;2926707
2926806;RIO DO ANTONIO;Rio do Antônio;2926806
2926905;RIO DO PIRES;Rio do Pires;2926905
2927002;RIO REAL;Rio Real;2927002
2927101;RODELAS;Rodelas;2927101
2927200;RUY BARBOSA;Ruy Barbosa;2411106
2927309;SALINAS DA MARGARIDA;Salinas da Margarida;2927309
2927408;SALVADOR;Salvador;2927408
2927507;SANTA BARBARA;Santa Bárbara;2927507
2927606;SANTA BRIGIDA;Santa Brígida;2927606
2927705;SANTA CRUZ CABRALIA;Santa Cruz Cabrália;2927705
2927804;SANTA CRUZ DA VITORIA;Santa Cruz da Vitória;2927804
2927903;SANTA INES;Santa Inês;2109908
2928000;SANTALUZ;Santaluz;2928000
2928059;SANTA LUZIA;Santa Luzia;2110005
2928109;SANTA MARIA DA VITORIA;Santa Maria da Vitória;2928109
2928208;SANTANA;Santana;1600600
2928307;SANTANOPOLIS;Santanópolis;2928307
2928406;SANTA RITA DE CASSIA;Santa Rita de Cássia;2928406
2928505;SANTA TERESINHA;Santa Teresinha;2513802
2928604;SANTO AMARO;Santo Amaro;2928604
2928703;SANTO ANTONIO DE JESUS;Santo Antônio de Jesus;2928703
2928802;SANTO ESTEVAO;Santo Estêvão;2928802
2928901;SAO DESIDERIO;São Desidério;2928901
2928950;SAO DOMINGOS;São Domingos;2806800
2929008;SAO FELIX;São Félix;2929008
2929057;SAO FELIX DO CORIBE;São Félix do Coribe;2929057
2929107;SAO FELIPE;São Felipe;2929107
2929206;SAO FRANCISCO DO CONDE;São Francisco do Conde;2929206
2929255;SAO GABRIEL;São Gabriel;2929255
2929305;SAO GONCALO DOS CAMPOS;São Gonçalo dos Campos;2929305
2929354;SAO JOSE DA VITORIA;São José da Vitória;2929354
2929370;SAO JOSE DO JACUIPE;São José do Jacuípe;2929370
2929404;SAO MIGUEL DAS MATAS;São Miguel das Matas;2929404
2929503;SAO SEBASTIAO DO PASSE;São Sebastião do Passé;2929503
2929602;SAPEACU;Sapeaçu;2929602
2929701;SATIRO DIAS;Sátiro Dias;2929701
2929750;SAUBARA;Saubara;2929750
2929800;SAUDE;Saúde;2929800
2929909;SEABRA;Seabra;2929909
2930006;SEBASTIAO LARANJEIRAS;Sebastião Laranjeiras;2930006
2930105;SENHOR DO BONFIM;Senhor do Bonfim;2930105
2930154;SERRA DO RAMALHO;Serra do Ramalho;2930154
2930204;SENTO SE;Sento Sé;2930204
2930303;SERRA DOURADA;Serra Dourada;2930303
2930402;SERRA PRETA;Serra Preta;2930402
2930501;SERRINHA;Serrinha;2413508
2930600;SERROLANDIA;Serrolândia;2930600
2930709;SIMOES FILHO;Simões Filho;2930709
2930758;SITIO DO MATO;Sítio do Mato;2930758
2930766;SITIO DO QUINTO;Sítio do Quinto;2930766
2930774;SOBRADINHO;Sobradinho;2930774
2930808;SOUTO SOARES;Souto Soares;2930808
2930907;TABOCAS DO BREJO VELHO;Tabocas do Brejo Velho;2930907
2931004;TANHACU;Tanhaçu;2931004
2931053;TANQUE NOVO;Tanque Novo;2931053
2931103;TANQUINHO;Tanquinho;2931103
2931202;TAPEROA;Taperoá;2516508
2931301;TAPIRAMUTA;Tapiramutá;2931301
2931350;TEIXEIRA DE FREITAS;Teixeira de Freitas;2931350
2931400;TEODORO SAMPAIO;Teodoro Sampaio;2931400
2931509;TEOFILANDIA;Teofilândia;2931509
2931608;TEOLANDIA;Teolândia;2931608
2931707;TERRA NOVA;Terra Nova;2615201
2931806;TREMEDAL;Tremedal;2931806
2931905;TUCANO;Tucano;2931905
2932002;UAUA;Uauá;2932002
2932101;UBAIRA;Ubaíra;2932101
2932200;UBAITABA;Ubaitaba;2932200
2932309;UBATA;Ubatã;2932309
2932408;UIBAI;Uibaí;2932408
2932457;UMBURANAS;Umburanas;2932457
2932507;UNA;Una;2932507
2932606;URANDI;Urandi;2932606
2932705;URUCUCA;Uruçuca;2932705
2932804;UTINGA;Utinga;2932804
2932903;VALENCA;Valença;3306107
2933000;VALENTE;Valente;2933000
2933059;VARZEA DA ROCA;Várzea da Roça;2933059
2933109;VARZEA DO POCO;Várzea do Poço;2933109
2933158;VARZEA NOVA;Várzea Nova;2933158
2933174;VARZEDO;Varzedo;2933174
2933208;VERA CRUZ;Vera Cruz;2414803
2933257;VEREDA;Vereda;2933257
2933307;VITORIA DA CONQUISTA;Vitória da Conquista;2933307
2933406;WAGNER;Wagner;2933406
2933455;WANDERLEY;Wanderley;2933455
2933505;WENCESLAU GUIMARAES;Wenceslau Guimarães;2933505
2933604;XIQUE-XIQUE;Xique-Xique;2933604
3100104;ABADIA DOS DOURADOS;Abadia dos Dourados;3100104
3100203;ABAETE;Abaeté;3100203
3100302;ABRE CAMPO;Abre Campo;3100302
3100401;ACAIACA;Acaiaca;3100401
3100500;ACUCENA;Açucena;3100500
3100609;AGUA BOA;Água Boa;5100201
3100708;AGUA COMPRIDA;Água Comprida;3100708
3100807;AGUANIL;Aguanil;3100807
3100906;AGUAS FORMOSAS;Águas Formosas;3100906
3101003;AGUAS VERMELHAS;Águas Vermelhas;3101003
3101102;AIMORES;Aimorés;3101102
3101201;AIURUOCA;Aiuruoca;3101201
3101300;ALAGOA;Alagoa;3101300
3101409;ALBERTINA;Albertina;3101409
3101508;ALEM PARAIBA;Além Paraíba;3101508
3101607;ALFENAS;Alfenas;3101607
3101631;ALFREDO VASCONCELOS;Alfredo Vasconcelos;3101631
3101706;ALMENARA;Almenara;3101706
3101805;ALPERCATA;Alpercata;3101805
3101904;ALPINOPOLIS;Alpinópolis;3101904
3102001;ALTEROSA;Alterosa;3102001
3102050;ALTO CAPARAO;Alto Caparaó;3102050
3102100;ALTO RIO DOCE;Alto Rio Doce;3102100
3102209;ALVARENGA;Alvarenga;3102209
3102308;ALVINOPOLIS;Alvinópolis;3102308
3102407;ALVORADA DE MINAS;Alvorada de Minas;3102407
3102506;AMPARO DO SERRA;Amparo do Serra;3102506
3102605;ANDRADAS;Andradas;3102605
3202900;ITARANA;Itarana;3202900
3203007;IUNA;Iúna;3203007
3203056;JAGUARE;Jaguaré;3203056
3203106;JERONIMO MONTEIRO;Jerônimo Monteiro;3203106
3203130;JOAO NEIVA;João Neiva;3203130
3203163;LARANJA DA TERRA;Laranja da Terra;3203163
3203205;LINHARES;Linhares;3203205
3203304;MANTENOPOLIS;Mantenópolis;3203304
3203320;MARATAIZES;Marataízes;3203320
3203346;MARECHAL FLORIANO;Marechal Floriano;3203346
3203353;MARILANDIA;Marilândia;3203353
3203403;MIMOSO DO SUL;Mimoso do Sul;3203403
3203502;MONTANHA;Montanha;3203502
3203601;MUCURICI;Mucurici;3203601
3203700;MUNIZ FREIRE;Muniz Freire;3203700
3203809;MUQUI;Muqui;3203809
3203908;NOVA VENECIA;Nova Venécia;3203908
3204005;PANCAS;Pancas;3204005
3204054;PEDRO CANARIO;Pedro Canário;3204054
3204104;PINHEIROS;Pinheiros;3204104
3204203;PIUMA;Piúma;3204203
3204252;PONTO BELO;Ponto Belo;3204252
3204302;PRESIDENTE KENNEDY;Presidente Kennedy;3204302
3204351;RIO BANANAL;Rio Bananal;3204351
3204401;RIO NOVO DO SUL;Rio Novo do Sul;3204401
3204500;SANTA LEOPOLDINA;Santa Leopoldina;3204500
3204559;SANTA MARIA DE JETIBA;Santa Maria de Jetibá;3204559
3204609;SANTA TERESA;Santa Teresa;3204609
3204658;SAO DOMINGOS DO NORTE;São Domingos do Norte;3204658
3204708;SAO GABRIEL DA PALHA;São Gabriel da Palha;3204708
3204807;SAO JOSE DO CALCADO;São José do Calçado;3204807
3204906;SAO MATEUS;São Mateus;3204906
3204955;SAO ROQUE DO CANAA;São Roque do Canaã;3204955
3205002;SERRA;Serra;3205002
3205010;SOORETAMA;Sooretama;3205010
3205036;VARGEM ALTA;Vargem Alta;3205036
3205069;VENDA NOVA DO IMIGRANTE;Venda Nova do Imigrante;3205069
3205101;VIANA;Viana;3205101
3205150;VILA PAVAO;Vila Pavão;3205150
3205176;VILA VALERIO;Vila Valério;3205176
3205200;VILA VELHA;Vila Velha;3205200
3205309;VITORIA;Vitória;3205309
3300100;ANGRA DOS REIS;Angra dos Reis;3300100
3300159;APERIBE;Aperibé;3300159
3300209;ARARUAMA;Araruama;3300209
3300225;AREAL;Areal;3300225
3300233;ARMACAO DOS BUZIOS;Armação dos Búzios;3300233
3300258;ARRAIAL DO CABO;Arraial do Cabo;3300258
3300308;BARRA DO PIRAI;Barra do Piraí;3300308
3300407;BARRA MANSA;Barra Mansa;3300407
3300456;BELFORD ROXO;Belford Roxo;3300456
3300506;BOM JARDIM;Bom Jardim;3300506
3300605;BOM JESUS DO ITABAPOANA;Bom Jesus do Itabapoana;3300605
3300704;CABO FRIO;Cabo Frio;3300704
3300803;CACHOEIRAS DE MACACU;Cachoeiras de Macacu;3300803
3300902;CAMBUCI;Cambuci;3300902
3300936;CARAPEBUS;Carapebus;3300936
3300951;COMENDADOR LEVY GASPARIAN;Comendador Levy Gasparian;3300951
3301009;CAMPOS DOS GOYTACAZES;Campos dos Goytacazes;3301009
3301108;CANTAGALO;Cantagalo;3301108
3301157;CARDOSO MOREIRA;Cardoso Moreira;3301157
3301207;CARMO;Carmo;3301207
3301306;CASIMIRO DE ABREU;Casimiro de Abreu;3301306
3301405;CONCEICAO DE MACABU;Conceição de Macabu;3301405
3301504;CORDEIRO;Cordeiro;3301504
3301603;DUAS BARRAS;Duas Barras;3301603
3301702;DUQUE DE CAXIAS;Duque de Caxias;3301702
3301801;ENGENHEIRO PAULO DE FRONTIN;Engenheiro Paulo de Frontin;3301801
3301850;GUAPIMIRIM;Guapimirim;3301850
3301876;IGUABA GRANDE;Iguaba Grande;3301876
3301900;ITABORAI;Itaboraí;3301900
3302007;ITAGUAI;Itaguaí;3302007
3302056;ITALVA;Italva;3302056
3302106;ITAOCARA;Itaocara;3302106
3302205;ITAPERUNA;Itaperuna;3302205
3302254;ITATIAIA;Itatiaia;3302254
3302270;JAPERI;Japeri;3302270
3302304;LAJE DO MURIAE;Laje do Muriaé;3302304
3302403;MACAE;Macaé;3302403
3302452;MACUCO;Macuco;3302452
3302502;MAGE;Magé;3302502
3302601;MANGARATIBA;Mangaratiba;3302601
3302700;MARICA;Maricá;3302700
3302809;MENDES;Mendes;3302809
3302858;MESQUITA;Mesquita;3302858
3302908;MIGUEL PEREIRA;Miguel Pereira;3302908
3303005;MIRACEMA;Miracema;3303005
3303104;NATIVIDADE;Natividade;3303104
3303203;NILOPOLIS;Nilópolis;3303203
3303302;NITEROI;Niterói;3303302
3303401;NOVA FRIBURGO;Nova Friburgo;3303401
3303500;NOVA IGUACU;Nova Iguaçu;3303500
3303609;PARACAMBI;Paracambi;3303609
3303708;PARAIBA DO SUL;Paraíba do Sul;3303708
3303807;PARATI;Parati;3303807
3303856;PATY DO ALFERES;Paty do Alferes;3303856
3303906;PETROPOLIS;Petrópolis;3303906
3303955;PINHEIRAL;Pinheiral;3303955
3304003;PIRAI;Piraí;3304003
3304102;PORCIUNCULA;Porciúncula;3304102
3304110;PORTO REAL;Porto Real;3304110
3304128;QUATIS;Quatis;3304128
4200051;ABDON BATISTA;Abdon Batista;4200051
4200101;ABELARDO LUZ;Abelardo Luz;4200101
4200200;AGROLANDIA;Agrolândia;4200200
4200309;AGRONOMICA;Agronômica;4200309
4200408;AGUA DOCE;Água Doce;4200408
4200507;AGUAS DE CHAPECO;Águas de Chapecó;4200507
4200556;AGUAS FRIAS;Águas Frias;4200556
4200606;AGUAS MORNAS;Águas Mornas;4200606
4200705;ALFREDO WAGNER;Alfredo Wagner;4200705
4200754;ALTO BELA VISTA;Alto Bela Vista;4200754
4200804;ANCHIETA;Anchieta;3200409
4200903;ANGELINA;Angelina;4200903
4201000;ANITA GARIBALDI;Anita Garibaldi;4201000
4201109;ANITAPOLIS;Anitápolis;4201109
4201208;ANTONIO CARLOS;Antônio Carlos;4201208
4201257;APIUNA;Apiúna;4201257
4201273;ARABUTA;Arabutã;4201273
4201307;ARAQUARI;Araquari;4201307
4201406;ARARANGUA;Araranguá;4201406
4201505;ARMAZEM;Armazém;4201505
4201604;ARROIO TRINTA;Arroio Trinta;4201604
4201653;ARVOREDO;Arvoredo;4201653
4201703;ASCURRA;Ascurra;4201703
4201802;ATALANTA;Atalanta;4201802
4201901;AURORA;Aurora;2301703
4201950;BALNEARIO ARROIO DO SILVA;Balneário Arroio do Silva;4201950
4202008;BALNEARIO CAMBORIU;Balneário Camboriú;4202008
4202057;BALNEARIO BARRA DO SUL;Balneário Barra do Sul;4202057
4202073;BALNEARIO GAIVOTA;Balneário Gaivota;4202073
4202081;BANDEIRANTE;Bandeirante;4202081
4202099;BARRA BONITA;Barra Bonita;4202099
4202107;BARRA VELHA;Barra Velha;4202107
4202131;BELA VISTA DO TOLDO;Bela Vista do Toldo;4202131
4202156;BELMONTE;Belmonte;4202156
4202206;BENEDITO NOVO;Benedito Novo;4202206
4202305;BIGUACU;Biguaçu;4202305
4202404;BLUMENAU;Blumenau;4202404
4202438;BOCAINA DO SUL;Bocaina do Sul;4202438
4202453;BOMBINHAS;Bombinhas;4202453
4202503;BOM JARDIM DA SERRA;Bom Jardim da Serra;4202503
4202537;BOM JESUS;Bom Jesus;2401701
4202578;BOM JESUS DO OESTE;Bom Jesus do Oeste;4202578
4202602;BOM RETIRO;Bom Retiro;4202602
4202701;BOTUVERA;Botuverá;4202701
4202800;BRACO DO NORTE;Braço do Norte;4202800
4202859;BRACO DO TROMBUDO;Braço do Trombudo;4202859
4202875;BRUNOPOLIS;Brunópolis;4202875
4202909;BRUSQUE;Brusque;4202909
4203006;CACADOR;Caçador;4203006
4203105;CAIBI;Caibi;4203105
4203154;CALMON;Calmon;4203154
4203204;CAMBORIU;Camboriú;4203204
4203253;CAPAO ALTO;Capão Alto;4203253
4203303;CAMPO ALEGRE;Campo Alegre;2701407
4203402;CAMPO BELO DO SUL;Campo Belo do Sul;4203402
4203501;CAMPO ERE;Campo Erê;4203501
4203600;CAMPOS NOVOS;Campos Novos;4203600
4203709;CANELINHA;Canelinha;4203709
4203808;CANOINHAS;Canoinhas;4203808
4203907;CAPINZAL;Capinzal;4203907
4203956;CAPIVARI DE BAIXO;Capivari de Baixo;4203956
4204004;CATANDUVAS;Catanduvas;4204004
4204103;CAXAMBU DO SUL;Caxambu do Sul;4204103
4204152;CELSO RAMOS;Celso Ramos;4204152
4204178;CERRO NEGRO;Cerro Negro;4204178
4204194;CHAPADAO DO LAGEADO;Chapadão do Lageado;4204194
4204202;CHAPECO;Chapecó;4204202
4204251;COCAL DO SUL;Cocal do Sul;4204251
4204301;CONCORDIA;Concórdia;4204301
4204350;CORDILHEIRA ALTA;Cordilheira Alta;4204350
4204400;CORONEL FREITAS;Coronel Freitas;4204400
4204459;CORONEL MARTINS;Coronel Martins;4204459
4204509;CORUPA;Corupá;4204509
4204558;CORREIA PINTO;Correia Pinto;4204558
4204608;CRICIUMA;Criciúma;4204608
4204707;CUNHA PORA;Cunha Porã;4204707
4115804;MEDIANEIRA;Medianeira;4115804
4115853;MERCEDES;Mercedes;4115853
4115903;MIRADOR;Mirador;2106706
4116000;MIRASELVA;Miraselva;4116000
4116059;MISSAL;Missal;4116059
4116109;MOREIRA SALES;Moreira Sales;4116109
4116208;MORRETES;Morretes;4116208
4116307;MUNHOZ DE MELO;Munhoz de Melo;4116307
4116406;NOSSA SENHORA DAS GRACAS;Nossa Senhora das Graças;4116406
4116505;NOVA ALIANCA DO IVAI;Nova Aliança do Ivaí;4116505
4116604;NOVA AMERICA DA COLINA;Nova América da Colina;4116604
4116703;NOVA AURORA;Nova Aurora;5214804
4116802;NOVA CANTU;Nova Cantu;4116802
4116901;NOVA ESPERANCA;Nova Esperança;4116901
4116950;NOVA ESPERANCA DO SUDOESTE;Nova Esperança do Sudoeste;4116950
4117008;NOVA FATIMA;Nova Fátima;4117008
4117057;NOVA LARANJEIRAS;Nova Laranjeiras;4117057
4117107;NOVA LONDRINA;Nova Londrina;4117107
4117206;NOVA OLIMPIA;Nova Olímpia;5106232
4117214;NOVA SANTA BARBARA;Nova Santa Bárbara;4117214
4117222;NOVA SANTA ROSA;Nova Santa Rosa;4117222
4117255;NOVA PRATA DO IGUACU;Nova Prata do Iguaçu;4117255
4117271;NOVA TEBAS;Nova Tebas;4117271
4117297;NOVO ITACOLOMI;Novo Itacolomi;4117297
4117305;ORTIGUEIRA;Ortigueira;4117305
4117404;OURIZONA;Ourizona;4117404
4117453;OURO VERDE DO OESTE;Ouro Verde do Oeste;4117453
4117503;PAICANDU;Paiçandu;4117503
4117602;PALMAS;Palmas;1721000
4117701;PALMEIRA;Palmeira;4212056
4117800;PALMITAL;Palmital;4117800
4117909;PALOTINA;Palotina;4117909
4118006;PARAISO DO NORTE;Paraíso do Norte;4118006
4118105;PARANACITY;Paranacity;4118105
4118204;PARANAGUA;Paranaguá;4118204
4118303;PARANAPOEMA;Paranapoema;4118303
4118402;PARANAVAI;Paranavaí;4118402
4118451;PATO BRAGADO;Pato Bragado;4118451
4118501;PATO BRANCO;Pato Branco;4118501
4118600;PAULA FREITAS;Paula Freitas;4118600
4118709;PAULO FRONTIN;Paulo Frontin;4118709
4118808;PEABIRU;Peabiru;4118808
4118857;PEROBAL;Perobal;4118857
4118907;PEROLA;Pérola;4118907
4119004;PEROLA D'OESTE;Pérola d'Oeste;4119004
4119103;PIEN;Piên;4119103
4119152;PINHAIS;Pinhais;4119152
4119202;PINHALAO;Pinhalão;4119202
4119251;PINHAL DE SAO BENTO;Pinhal de São Bento;4119251
4119301;PINHAO;Pinhão;2805208
4119400;PIRAI DO SUL;Piraí do Sul;4119400
4119509;PIRAQUARA;Piraquara;4119509
4119608;PITANGA;Pitanga;4119608
4119657;PITANGUEIRAS;Pitangueiras;4119657
4119707;PLANALTINA DO PARANA;Planaltina do Paraná;4119707
4119806;PLANALTO;Planalto;4119806
4119905;PONTA GROSSA;Ponta Grossa;4119905
4119954;PONTAL DO PARANA;Pontal do Paraná;4119954
4120002;PORECATU;Porecatu;4120002
4120101;PORTO AMAZONAS;Porto Amazonas;4120101
4120150;PORTO BARREIRO;Porto Barreiro;4120150
4120200;PORTO RICO;Porto Rico;4120200
4120309;PORTO VITORIA;Porto Vitória;4120309
4120333;PRADO FERREIRA;Prado Ferreira;4120333
4120358;PRANCHITA;Pranchita;4120358
4120408;PRESIDENTE CASTELO BRANCO;Presidente Castelo Branco;4120408
4120507;PRIMEIRO DE MAIO;Primeiro de Maio;4120507
4120606;PRUDENTOPOLIS;Prudentópolis;4120606
4120655;QUARTO CENTENARIO;Quarto Centenário;4120655
4120705;QUATIGUA;Quatiguá;4120705
4120804;QUATRO BARRAS;Quatro Barras;4120804
4120853;QUATRO PONTES;Quatro Pontes;4120853
4120903;QUEDAS DO IGUACU;Quedas do Iguaçu;4120903
4121000;QUERENCIA DO NORTE;Querência do Norte;4121000
4121109;QUINTA DO SOL;Quinta do Sol;4121109
4121208;QUITANDINHA;Quitandinha;4121208
4121257;RAMILANDIA;Ramilândia;4121257
4121307;RANCHO ALEGRE;Rancho Alegre;4121307
4121356;RANCHO ALEGRE D'OESTE;Rancho Alegre D'Oeste;4121356
4121406;REALEZA;Realeza;4121406
4121505;REBOUCAS;Rebouças;4121505
4121604;RENASCENCA;Renascença;4121604
4121703;RESERVA;Reserva;4121703
4121752;RESERVA DO IGUACU;Reserva do Iguaçu;4121752
4121802;RIBEIRAO CLARO;Ribeirão Claro;4121802
4121901;RIBEIRAO DO PINHAL;Ribeirão do Pinhal;4121901
4122008;RIO AZUL;Rio Azul;4122008
4122107;RIO BOM;Rio Bom;4122107
4122156;RIO BONITO DO IGUACU;Rio Bonito do Iguaçu;4122156
4122172;RIO BRANCO DO IVAI;Rio Branco do Ivaí;4122172
4122206;RIO BRANCO DO SUL;Rio Branco do Sul;4122206
4122305;RIO NEGRO;Rio Negro;5007307
4122404;ROLANDIA;Rolândia;4122404
4122503;RONCADOR;Roncador;4122503
4122602;RONDON;Rondon;4122602
4122651;ROSARIO DO IVAI;Rosário do Ivaí;4122651
4122701;SABAUDIA;Sabáudia;4122701
4122800;SALGADO FILHO;Salgado Filho;4122800
4122909;SALTO DO ITARARE;Salto do Itararé;4122909
3107802;BOM JESUS DO GALHO;Bom Jesus do Galho;3107802
3107901;BOM REPOUSO;Bom Repouso;3107901
3108008;BOM SUCESSO;Bom Sucesso;2502300
3108107;BONFIM;Bonfim;1400159
3108206;BONFINOPOLIS DE MINAS;Bonfinópolis de Minas;3108206
3108255;BONITO DE MINAS;Bonito de Minas;3108255
3108305;BORDA DA MATA;Borda da Mata;3108305
3108404;BOTELHOS;Botelhos;3108404
3108503;BOTUMIRIM;Botumirim;3108503
3108552;BRASILANDIA DE MINAS;Brasilândia de Minas;3108552
3108602;BRASILIA DE MINAS;Brasília de Minas;3108602
3108701;BRAS PIRES;Brás Pires;3108701
3108800;BRAUNAS;Braúnas;3108800
3108909;BRASOPOLIS;Brasópolis;3108909
3109006;BRUMADINHO;Brumadinho;3109006
3109105;BUENO BRANDAO;Bueno Brandão;3109105
3109204;BUENOPOLIS;Buenópolis;3109204
3109253;BUGRE;Bugre;3109253
3109303;BURITIS;Buritis;1100452
3109402;BURITIZEIRO;Buritizeiro;3109402
